,Unnamed: 0,closed,opened,duration,status,seg_id,created,ID,decision,score,assignee_masked,unique_task_id,avg_opened_time
673,673,2022-01-03 15:46:58.611000064,1641224786139000064,32.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,13,86469113623748332413,1.3305273382692352e+18
674,674,2022-01-05 01:52:15.496000000,1641328653972999936,644.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yesConditional,0.5,14,86469113623748332413,1.3305273382692352e+18
677,677,2022-01-03 16:13:50.067000064,1641226316697999872,111.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,17,86469113623748332413,1.3305273382692352e+18
675,675,2022-01-03 16:00:24.104999936,1641225503939000064,120.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,15,86469113623748332413,1.3305273382692352e+18
676,676,2022-01-03 15:54:15.734000128,1641225089062000128,165.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,16,86469113623748332413,1.3305273382692352e+18
678,678,2022-01-03 15:46:13.840000000,1641224303569999872,469.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,18,86469113623748332413,1.3305273382692352e+18
679,679,2022-01-03 15:50:38.924999936,1641224735484000000,302.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,19,86469113623748332413,1.3305273382692352e+18
669,669,2022-01-03 15:47:26.556000000,1641224584248000000,262.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,9,86469113623748332413,1.3305273382692352e+18
684,684,2022-01-03 15:48:47.497999872,1641224835817999872,90.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,24,86469113623748332413,1.3305273382692352e+18
683,683,2022-01-03 15:45:19.193999872,1641224614848999936,102.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,23,86469113623748332413,1.3305273382692352e+18
682,682,2022-01-03 16:01:46.316000000,1641225650799000064,55.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,22,86469113623748332413,1.3305273382692352e+18
681,681,2022-01-03 16:25:11.536000000,1641226902896999936,207.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,21,86469113623748332413,1.3305273382692352e+18
680,680,2022-01-03 15:52:13.137999872,-9223372036854775808,170.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,no,0.0,20,86469113623748332413,1.3305273382692352e+18
1751,1751,2022-01-05 15:55:25.113999872,1641398090876999936,33.0,closed,864691136237483324,2022-01-03 13:40:43.210000000,13,yes,1.0,1000,86469113623748332413,1.3305273382692352e+18
666,666,2022-01-03 16:07:54.620999936,1641225874366000128,198.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,6,86469113623748332413,1.3305273382692352e+18
664,664,2022-01-03 15:37:29.315000064,1641224091529999872,156.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,4,86469113623748332413,1.3305273382692352e+18
663,663,2022-01-03 16:05:48.359000064,1641225892308999936,55.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,3,86469113623748332413,1.3305273382692352e+18
662,662,2022-01-03 16:48:43.699000064,1641228235484999936,282.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,errorNearby,0.0,2,86469113623748332413,1.3305273382692352e+18
661,661,2022-01-03 16:12:05.787000064,1641225800644999936,395.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yesConditional,0.5,1,86469113623748332413,1.3305273382692352e+18
665,665,2022-01-03 15:55:42.992000000,1641225200156999936,142.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,5,86469113623748332413,1.3305273382692352e+18
771,771,2022-01-03 16:24:50.252999936,1641226745148999936,345.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yes,1.0,15,86469113623748332417,1.330539929319749e+18
775,775,2022-01-03 16:05:57.207000064,1641225817851000064,137.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yesConditional,0.5,19,86469113623748332417,1.330539929319749e+18
780,780,2022-01-03 15:55:17.134000128,1641225219855000064,96.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yes,1.0,24,86469113623748332417,1.330539929319749e+18
778,778,2022-01-03 16:11:53.204000000,1641226258571000064,54.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yes,1.0,22,86469113623748332417,1.330539929319749e+18
777,777,2022-01-03 16:34:10.592000000,1641227500967000064,148.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yes,1.0,21,86469113623748332417,1.330539929319749e+18
776,776,2022-01-03 16:03:36.592999936,1641225675665999872,138.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yesConditional,0.5,20,86469113623748332417,1.330539929319749e+18
768,768,2022-01-03 18:38:17.078000128,1641234970022000128,125.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yes,1.0,12,86469113623748332417,1.330539929319749e+18
774,774,2022-01-03 15:57:13.396000000,1641225321510000128,111.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yes,1.0,18,86469113623748332417,1.330539929319749e+18
763,763,2022-01-03 15:53:26.974000128,1641225139676999936,66.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yes,1.0,7,86469113623748332417,1.330539929319749e+18
773,773,2022-01-03 16:33:57.151000064,1641227480135000064,155.0,closed,864691136237483324,2021-12-30 13:29:14.696000000,17,yesConditional,0.5,17,86469113623748332417,1.330539929319749e+18
