,run,precision,recall,f1,seg_id,num_endpoints,endpoints,invalidation_d,num_laplacian_iters,decimation_factor,comments,proposed_endpoints
61,62,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,150,0.36444444444444446,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
62,63,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,150,0.41888888888888887,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
63,64,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,150,0.47333333333333333,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
64,65,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,150,0.5277777777777778,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
65,66,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,150,0.5822222222222222,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
66,67,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,150,0.6366666666666667,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
67,68,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,150,0.6911111111111111,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
68,69,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,150,0.7455555555555555,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
69,70,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,150,0.8,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
70,71,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,175,0.31,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
71,72,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,175,0.36444444444444446,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
72,73,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,175,0.41888888888888887,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
73,74,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,175,0.47333333333333333,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
